trade_id,symbol,qty,direction,entry_price,exit_price,entry_time,exit_time,option_type,pnl,strike_price,rolled_from
sim_order_612058,NIFTY25OCT25706CE,1,SELL,102.25,106.6,2025-10-25T14:16:12.609254,2025-10-25T14:16:12.627867,CE,-4.349999999999994,25706.0,
sim_order_492306,NIFTY25OCT25194PE,1,SELL,58.85,57.3,2025-10-25T14:16:12.616068,2025-10-25T14:16:12.642232,PE,1.5500000000000043,25194.0,
sim_order_627135,NIFTY25OCT25864CE,1,SELL,107.0,107.5,2025-10-25T14:16:12.882445,2025-10-25T14:16:12.903910,CE,-0.5,25864.0,
sim_order_117918,NIFTY25OCT25336PE,1,SELL,61.8,60.3,2025-10-25T14:16:12.890314,2025-10-25T14:16:12.919146,PE,1.5,25336.0,
sim_order_750443,NIFTY25OCT26170CE,1,SELL,65.35,60.85,2025-10-25T14:16:13.163867,2025-10-25T14:16:13.182421,CE,4.499999999999993,26170.0,
sim_order_813883,NIFTY25OCT25630PE,1,SELL,62.05,59.05,2025-10-25T14:16:13.171883,2025-10-25T14:16:13.388218,PE,3.0,25630.0,
sim_order_502745,NIFTY25OCT26169CE,1,SELL,52.05,53.15,2025-10-25T14:16:13.496008,2025-10-25T14:16:13.543703,CE,-1.1000000000000014,26169.0,
sim_order_463755,NIFTY25OCT25631PE,1,SELL,53.0,48.3,2025-10-25T14:16:13.507334,2025-10-25T14:16:13.516500,PE,4.700000000000003,25631.0,
sim_order_874248,NIFTY25OCT26323CE,2,SELL,68.0,67.8,2025-10-25T14:16:13.678094,2025-10-25T14:16:13.804957,CE,0.4000000000000057,26323.0,
sim_order_234788,NIFTY25OCT25777PE,2,SELL,28.9,27.85,2025-10-25T14:16:13.686705,2025-10-25T14:16:13.711798,PE,2.0999999999999943,25777.0,
